id,user_name,repo_name,watch_count,star_count,fork_count
6,"cocos2d               ","cocos2d-x           ",1341,10550,"6210 "
37,"angular               ","angular.js          ",4428,56451,28185
183,"zendframework         ","zf2                 ",599,5522,"3066 "
202,"mozilla-b2g           ","gaia                ",237,2048,"2482 "
540,"emberjs               ","ember.js            ",1054,18054,"3726 "
634,"symfony               ","symfony             ",1210,14840,"5601 "
1142,"saltstack             ","salt                ",575,7858,"3647 "
1226,"django                ","django              ",1620,26847,11171
1334,"rails                 ","rails               ",2430,36330,14815
1486,"ansible               ","ansible             ",1687,24230,"8311 "
2184,"joomla                ","joomla-cms          ",353,2425,"2505 "
5219,"scikit-learn          ","scikit-learn        ",1756,19842,10721
6093,"JuliaLang             ","julia               ",615,8900,"2014 "
10070,"symfony               ","symfony-docs        ",103,1241,"3030 "
17694,"ceph                  ","ceph                ",520,3398,"1991 "
27329,"pydata                ","pandas              ",678,10245,"4067 "
3905191,"facebook              ","react               ",4704,71054,13351
4708601,"twbs                  ","bootstrap           ",7004,112676,52274
10313229,"rust-lang             ","rust                ",1139,22595,"4158 "
10952404,"servo                 ","servo               ",443,9643,"1667 "
10998645,"docker                ","docker              ",3270,44583,13220
11065419,"hashicorp             ","terraform           ",621,8888,"3376 "
13378441,"dotnet                ","corefx              ",1490,12130,"3305 "
17302594,"elastic               ","elasticsearch       ",2032,23771,"8402 "
20078281,"nodejs                ","node                ",2302,37030,"7249 "
22091370,"kubernetes            ","kubernetes          ",1851,24965,"8879 "
